IdNotaFiscal: 2, TESTE-P2            TESTE-P3            TESTE-P4            ,TESTE-P2            , TESTE-P3            , TESTE-P4            
IdNotaFiscal: 22, 230078/1            631556MATESCRITORIO       ,230078/1            , 631556, MATESCRITORIO       
IdNotaFiscal: 22, 230078/1            439083352773,230078/1            , 439083, 352773
IdNotaFiscal: 22, 230078/1            43908380000109,230078/1            , 439083, 80000109
IdNotaFiscal: 22, 230078/1            439083210033,230078/1            , 439083, 210033
IdNotaFiscal: 22, 230078/1            43908384000002,230078/1            , 439083, 84000002
IdNotaFiscal: 22, 230078/1            439083MATESCRITORIO       ,230078/1            , 439083, MATESCRITORIO       
IdNotaFiscal: 22, 230078/1            35277380000109,230078/1            , 352773, 80000109
IdNotaFiscal: 22, 230078/1            352773210033,230078/1            , 352773, 210033
IdNotaFiscal: 22, 230078/1            35277384000002,230078/1            , 352773, 84000002
IdNotaFiscal: 22, 230078/1            352773MATESCRITORIO       ,230078/1            , 352773, MATESCRITORIO       
IdNotaFiscal: 22, 230078/1            80000109210033,230078/1            , 80000109, 210033
IdNotaFiscal: 22, 230078/1            8000010984000002,230078/1            , 80000109, 84000002
IdNotaFiscal: 22, 230078/1            80000109MATESCRITORIO       ,230078/1            , 80000109, MATESCRITORIO       
IdNotaFiscal: 22, 230078/1            21003384000002,230078/1            , 210033, 84000002
IdNotaFiscal: 22, 230078/1            210033MATESCRITORIO       ,230078/1            , 210033, MATESCRITORIO       
IdNotaFiscal: 22, 230078/1            84000002MATESCRITORIO       ,230078/1            , 84000002, MATESCRITORIO       
IdNotaFiscal: 22, 631556439083352773,631556, 439083, 352773
IdNotaFiscal: 22, 63155643908380000109,631556, 439083, 80000109
IdNotaFiscal: 22, 631556439083210033,631556, 439083, 210033
IdNotaFiscal: 22, 63155643908384000002,631556, 439083, 84000002
IdNotaFiscal: 22, 631556439083MATESCRITORIO       ,631556, 439083, MATESCRITORIO       
IdNotaFiscal: 22, 63155635277380000109,631556, 352773, 80000109
IdNotaFiscal: 22, 631556352773210033,631556, 352773, 210033
IdNotaFiscal: 22, 63155635277384000002,631556, 352773, 84000002
IdNotaFiscal: 22, 631556352773MATESCRITORIO       ,631556, 352773, MATESCRITORIO       
IdNotaFiscal: 22, 63155680000109210033,631556, 80000109, 210033
IdNotaFiscal: 22, 6315568000010984000002,631556, 80000109, 84000002
IdNotaFiscal: 22, 63155680000109MATESCRITORIO       ,631556, 80000109, MATESCRITORIO       
IdNotaFiscal: 22, 63155621003384000002,631556, 210033, 84000002
IdNotaFiscal: 22, 631556210033MATESCRITORIO       ,631556, 210033, MATESCRITORIO       
IdNotaFiscal: 22, 63155684000002MATESCRITORIO       ,631556, 84000002, MATESCRITORIO       
IdNotaFiscal: 22, 43908335277380000109,439083, 352773, 80000109
IdNotaFiscal: 22, 439083352773210033,439083, 352773, 210033
IdNotaFiscal: 22, 43908335277384000002,439083, 352773, 84000002
IdNotaFiscal: 22, 439083352773MATESCRITORIO       ,439083, 352773, MATESCRITORIO       
IdNotaFiscal: 22, 43908380000109210033,439083, 80000109, 210033
IdNotaFiscal: 22, 4390838000010984000002,439083, 80000109, 84000002
IdNotaFiscal: 22, 43908380000109MATESCRITORIO       ,439083, 80000109, MATESCRITORIO       
IdNotaFiscal: 22, 43908321003384000002,439083, 210033, 84000002
IdNotaFiscal: 22, 439083210033MATESCRITORIO       ,439083, 210033, MATESCRITORIO       
IdNotaFiscal: 22, 43908384000002MATESCRITORIO       ,439083, 84000002, MATESCRITORIO       
IdNotaFiscal: 22, 35277380000109210033,352773, 80000109, 210033
IdNotaFiscal: 22, 3527738000010984000002,352773, 80000109, 84000002
IdNotaFiscal: 22, 35277380000109MATESCRITORIO       ,352773, 80000109, MATESCRITORIO       
IdNotaFiscal: 22, 35277321003384000002,352773, 210033, 84000002
IdNotaFiscal: 22, 352773210033MATESCRITORIO       ,352773, 210033, MATESCRITORIO       
IdNotaFiscal: 22, 35277384000002MATESCRITORIO       ,352773, 84000002, MATESCRITORIO       
IdNotaFiscal: 22, 8000010921003384000002,80000109, 210033, 84000002
IdNotaFiscal: 22, 80000109210033MATESCRITORIO       ,80000109, 210033, MATESCRITORIO       
IdNotaFiscal: 22, 8000010984000002MATESCRITORIO       ,80000109, 84000002, MATESCRITORIO       
IdNotaFiscal: 22, 21003384000002MATESCRITORIO       ,210033, 84000002, MATESCRITORIO       
IdNotaFiscal: 23, 87361042994756/1            9850149,87361042, 994756/1            , 9850149
IdNotaFiscal: 23, 87361042994756/1            9835350,87361042, 994756/1            , 9835350
IdNotaFiscal: 23, 87361042994756/1            9514532,87361042, 994756/1            , 9514532
IdNotaFiscal: 23, 87361042994756/1            9513759,87361042, 994756/1            , 9513759
IdNotaFiscal: 23, 87361042994756/1            89850149,87361042, 994756/1            , 89850149
IdNotaFiscal: 23, 87361042994756/1            88711400,87361042, 994756/1            , 88711400
IdNotaFiscal: 23, 87361042994756/1            87802834,87361042, 994756/1            , 87802834
IdNotaFiscal: 23, 87361042994756/1            87317695,87361042, 994756/1            , 87317695
IdNotaFiscal: 23, 87361042994756/1            87037972,87361042, 994756/1            , 87037972
IdNotaFiscal: 23, 87361042994756/1            86545652,87361042, 994756/1            , 86545652
IdNotaFiscal: 23, 87361042994756/1            84999763,87361042, 994756/1            , 84999763
IdNotaFiscal: 23, 87361042994756/1            84999531,87361042, 994756/1            , 84999531
IdNotaFiscal: 23, 87361042994756/1            84981149,87361042, 994756/1            , 84981149
IdNotaFiscal: 23, 87361042994756/1            84465082,87361042, 994756/1            , 84465082
IdNotaFiscal: 23, 87361042994756/1            84465002,87361042, 994756/1            , 84465002
IdNotaFiscal: 23, 87361042994756/1            84435858,87361042, 994756/1            , 84435858
IdNotaFiscal: 23, 87361042994756/1            84283691,87361042, 994756/1            , 84283691
IdNotaFiscal: 23, 8736104298501499835350,87361042, 9850149, 9835350
IdNotaFiscal: 23, 8736104298501499514532,87361042, 9850149, 9514532
IdNotaFiscal: 23, 8736104298501499513759,87361042, 9850149, 9513759
IdNotaFiscal: 23, 87361042985014989850149,87361042, 9850149, 89850149
IdNotaFiscal: 23, 87361042985014988711400,87361042, 9850149, 88711400
IdNotaFiscal: 23, 87361042985014987802834,87361042, 9850149, 87802834
IdNotaFiscal: 23, 87361042985014987317695,87361042, 9850149, 87317695
IdNotaFiscal: 23, 87361042985014987037972,87361042, 9850149, 87037972
IdNotaFiscal: 23, 87361042985014986545652,87361042, 9850149, 86545652
IdNotaFiscal: 23, 87361042985014984999763,87361042, 9850149, 84999763
IdNotaFiscal: 23, 87361042985014984999531,87361042, 9850149, 84999531
IdNotaFiscal: 23, 87361042985014984981149,87361042, 9850149, 84981149
IdNotaFiscal: 23, 87361042985014984465082,87361042, 9850149, 84465082
IdNotaFiscal: 23, 87361042985014984465002,87361042, 9850149, 84465002
IdNotaFiscal: 23, 87361042985014984435858,87361042, 9850149, 84435858
IdNotaFiscal: 23, 87361042985014984283691,87361042, 9850149, 84283691
IdNotaFiscal: 23, 8736104298353509514532,87361042, 9835350, 9514532
IdNotaFiscal: 23, 8736104298353509513759,87361042, 9835350, 9513759
IdNotaFiscal: 23, 87361042983535089850149,87361042, 9835350, 89850149
IdNotaFiscal: 23, 87361042983535088711400,87361042, 9835350, 88711400
IdNotaFiscal: 23, 87361042983535087802834,87361042, 9835350, 87802834
IdNotaFiscal: 23, 87361042983535087317695,87361042, 9835350, 87317695
IdNotaFiscal: 23, 87361042983535087037972,87361042, 9835350, 87037972
IdNotaFiscal: 23, 87361042983535086545652,87361042, 9835350, 86545652
IdNotaFiscal: 23, 87361042983535084999763,87361042, 9835350, 84999763
IdNotaFiscal: 23, 87361042983535084999531,87361042, 9835350, 84999531
IdNotaFiscal: 23, 87361042983535084981149,87361042, 9835350, 84981149
IdNotaFiscal: 23, 87361042983535084465082,87361042, 9835350, 84465082
IdNotaFiscal: 23, 87361042983535084465002,87361042, 9835350, 84465002
IdNotaFiscal: 23, 87361042983535084435858,87361042, 9835350, 84435858
IdNotaFiscal: 23, 87361042983535084283691,87361042, 9835350, 84283691
IdNotaFiscal: 23, 8736104295145329513759,87361042, 9514532, 9513759
IdNotaFiscal: 23, 87361042951453289850149,87361042, 9514532, 89850149
IdNotaFiscal: 23, 87361042951453288711400,87361042, 9514532, 88711400
IdNotaFiscal: 23, 87361042951453287802834,87361042, 9514532, 87802834
IdNotaFiscal: 23, 87361042951453287317695,87361042, 9514532, 87317695
IdNotaFiscal: 23, 87361042951453287037972,87361042, 9514532, 87037972
IdNotaFiscal: 23, 87361042951453286545652,87361042, 9514532, 86545652
IdNotaFiscal: 23, 87361042951453284999763,87361042, 9514532, 84999763
IdNotaFiscal: 23, 87361042951453284999531,87361042, 9514532, 84999531
IdNotaFiscal: 23, 87361042951453284981149,87361042, 9514532, 84981149
IdNotaFiscal: 23, 87361042951453284465082,87361042, 9514532, 84465082
IdNotaFiscal: 23, 87361042951453284465002,87361042, 9514532, 84465002
IdNotaFiscal: 23, 87361042951453284435858,87361042, 9514532, 84435858
IdNotaFiscal: 23, 87361042951453284283691,87361042, 9514532, 84283691
IdNotaFiscal: 23, 87361042951375989850149,87361042, 9513759, 89850149
IdNotaFiscal: 23, 87361042951375988711400,87361042, 9513759, 88711400
IdNotaFiscal: 23, 87361042951375987802834,87361042, 9513759, 87802834
IdNotaFiscal: 23, 87361042951375987317695,87361042, 9513759, 87317695
IdNotaFiscal: 23, 87361042951375987037972,87361042, 9513759, 87037972
IdNotaFiscal: 23, 87361042951375986545652,87361042, 9513759, 86545652
IdNotaFiscal: 23, 87361042951375984999763,87361042, 9513759, 84999763
IdNotaFiscal: 23, 87361042951375984999531,87361042, 9513759, 84999531
IdNotaFiscal: 23, 87361042951375984981149,87361042, 9513759, 84981149
IdNotaFiscal: 23, 87361042951375984465082,87361042, 9513759, 84465082
IdNotaFiscal: 23, 87361042951375984465002,87361042, 9513759, 84465002
IdNotaFiscal: 23, 87361042951375984435858,87361042, 9513759, 84435858
IdNotaFiscal: 23, 87361042951375984283691,87361042, 9513759, 84283691
IdNotaFiscal: 23, 873610428985014988711400,87361042, 89850149, 88711400
IdNotaFiscal: 23, 873610428985014987802834,87361042, 89850149, 87802834
IdNotaFiscal: 23, 873610428985014987317695,87361042, 89850149, 87317695
IdNotaFiscal: 23, 873610428985014987037972,87361042, 89850149, 87037972
IdNotaFiscal: 23, 873610428985014986545652,87361042, 89850149, 86545652
IdNotaFiscal: 23, 873610428985014984999763,87361042, 89850149, 84999763
IdNotaFiscal: 23, 873610428985014984999531,87361042, 89850149, 84999531
IdNotaFiscal: 23, 873610428985014984981149,87361042, 89850149, 84981149
IdNotaFiscal: 23, 873610428985014984465082,87361042, 89850149, 84465082
IdNotaFiscal: 23, 873610428985014984465002,87361042, 89850149, 84465002
IdNotaFiscal: 23, 873610428985014984435858,87361042, 89850149, 84435858
IdNotaFiscal: 23, 873610428985014984283691,87361042, 89850149, 84283691
IdNotaFiscal: 23, 873610428871140087802834,87361042, 88711400, 87802834
IdNotaFiscal: 23, 873610428871140087317695,87361042, 88711400, 87317695
IdNotaFiscal: 23, 873610428871140087037972,87361042, 88711400, 87037972
IdNotaFiscal: 23, 873610428871140086545652,87361042, 88711400, 86545652
IdNotaFiscal: 23, 873610428871140084999763,87361042, 88711400, 84999763
IdNotaFiscal: 23, 873610428871140084999531,87361042, 88711400, 84999531
IdNotaFiscal: 23, 873610428871140084981149,87361042, 88711400, 84981149
IdNotaFiscal: 23, 873610428871140084465082,87361042, 88711400, 84465082
IdNotaFiscal: 23, 873610428871140084465002,87361042, 88711400, 84465002
IdNotaFiscal: 23, 873610428871140084435858,87361042, 88711400, 84435858
IdNotaFiscal: 23, 873610428871140084283691,87361042, 88711400, 84283691
IdNotaFiscal: 23, 873610428780283487317695,87361042, 87802834, 87317695
IdNotaFiscal: 23, 873610428780283487037972,87361042, 87802834, 87037972
IdNotaFiscal: 23, 873610428780283486545652,87361042, 87802834, 86545652
IdNotaFiscal: 23, 873610428780283484999763,87361042, 87802834, 84999763
IdNotaFiscal: 23, 873610428780283484999531,87361042, 87802834, 84999531
IdNotaFiscal: 23, 873610428780283484981149,87361042, 87802834, 84981149
IdNotaFiscal: 23, 873610428780283484465082,87361042, 87802834, 84465082
IdNotaFiscal: 23, 873610428780283484465002,87361042, 87802834, 84465002
IdNotaFiscal: 23, 873610428780283484435858,87361042, 87802834, 84435858
IdNotaFiscal: 23, 873610428780283484283691,87361042, 87802834, 84283691
IdNotaFiscal: 23, 873610428731769587037972,87361042, 87317695, 87037972
IdNotaFiscal: 23, 873610428731769586545652,87361042, 87317695, 86545652
IdNotaFiscal: 23, 873610428731769584999763,87361042, 87317695, 84999763
IdNotaFiscal: 23, 873610428731769584999531,87361042, 87317695, 84999531
IdNotaFiscal: 23, 873610428731769584981149,87361042, 87317695, 84981149
IdNotaFiscal: 23, 873610428731769584465082,87361042, 87317695, 84465082
IdNotaFiscal: 23, 873610428731769584465002,87361042, 87317695, 84465002
IdNotaFiscal: 23, 873610428731769584435858,87361042, 87317695, 84435858
IdNotaFiscal: 23, 873610428731769584283691,87361042, 87317695, 84283691
IdNotaFiscal: 23, 873610428703797286545652,87361042, 87037972, 86545652
IdNotaFiscal: 23, 873610428703797284999763,87361042, 87037972, 84999763
IdNotaFiscal: 23, 873610428703797284999531,87361042, 87037972, 84999531
IdNotaFiscal: 23, 873610428703797284981149,87361042, 87037972, 84981149
IdNotaFiscal: 23, 873610428703797284465082,87361042, 87037972, 84465082
IdNotaFiscal: 23, 873610428703797284465002,87361042, 87037972, 84465002
IdNotaFiscal: 23, 873610428703797284435858,87361042, 87037972, 84435858
IdNotaFiscal: 23, 873610428703797284283691,87361042, 87037972, 84283691
IdNotaFiscal: 23, 873610428654565284999763,87361042, 86545652, 84999763
IdNotaFiscal: 23, 873610428654565284999531,87361042, 86545652, 84999531
IdNotaFiscal: 23, 873610428654565284981149,87361042, 86545652, 84981149
IdNotaFiscal: 23, 873610428654565284465082,87361042, 86545652, 84465082
IdNotaFiscal: 23, 873610428654565284465002,87361042, 86545652, 84465002
IdNotaFiscal: 23, 873610428654565284435858,87361042, 86545652, 84435858
IdNotaFiscal: 23, 873610428654565284283691,87361042, 86545652, 84283691
IdNotaFiscal: 23, 873610428499976384999531,87361042, 84999763, 84999531
IdNotaFiscal: 23, 873610428499976384981149,87361042, 84999763, 84981149
IdNotaFiscal: 23, 873610428499976384465082,87361042, 84999763, 84465082
IdNotaFiscal: 23, 873610428499976384465002,87361042, 84999763, 84465002
IdNotaFiscal: 23, 873610428499976384435858,87361042, 84999763, 84435858
IdNotaFiscal: 23, 873610428499976384283691,87361042, 84999763, 84283691
IdNotaFiscal: 23, 873610428499953184981149,87361042, 84999531, 84981149
IdNotaFiscal: 23, 873610428499953184465082,87361042, 84999531, 84465082
IdNotaFiscal: 23, 873610428499953184465002,87361042, 84999531, 84465002
IdNotaFiscal: 23, 873610428499953184435858,87361042, 84999531, 84435858
IdNotaFiscal: 23, 873610428499953184283691,87361042, 84999531, 84283691
IdNotaFiscal: 23, 873610428498114984465082,87361042, 84981149, 84465082
IdNotaFiscal: 23, 873610428498114984465002,87361042, 84981149, 84465002
IdNotaFiscal: 23, 873610428498114984435858,87361042, 84981149, 84435858
IdNotaFiscal: 23, 873610428498114984283691,87361042, 84981149, 84283691
IdNotaFiscal: 23, 873610428446508284465002,87361042, 84465082, 84465002
IdNotaFiscal: 23, 873610428446508284435858,87361042, 84465082, 84435858
IdNotaFiscal: 23, 873610428446508284283691,87361042, 84465082, 84283691
IdNotaFiscal: 23, 873610428446500284435858,87361042, 84465002, 84435858
IdNotaFiscal: 23, 873610428446500284283691,87361042, 84465002, 84283691
IdNotaFiscal: 23, 873610428443585884283691,87361042, 84435858, 84283691
IdNotaFiscal: 23, 994756/1            98501499835350,994756/1            , 9850149, 9835350
IdNotaFiscal: 23, 994756/1            98501499514532,994756/1            , 9850149, 9514532
IdNotaFiscal: 23, 994756/1            98501499513759,994756/1            , 9850149, 9513759
IdNotaFiscal: 23, 994756/1            985014989850149,994756/1            , 9850149, 89850149
IdNotaFiscal: 23, 994756/1            985014988711400,994756/1            , 9850149, 88711400
IdNotaFiscal: 23, 994756/1            985014987802834,994756/1            , 9850149, 87802834
IdNotaFiscal: 23, 994756/1            985014987317695,994756/1            , 9850149, 87317695
IdNotaFiscal: 23, 994756/1            985014987037972,994756/1            , 9850149, 87037972
IdNotaFiscal: 23, 994756/1            985014986545652,994756/1            , 9850149, 86545652
IdNotaFiscal: 23, 994756/1            985014984999763,994756/1            , 9850149, 84999763
IdNotaFiscal: 23, 994756/1            985014984999531,994756/1            , 9850149, 84999531
IdNotaFiscal: 23, 994756/1            985014984981149,994756/1            , 9850149, 84981149
IdNotaFiscal: 23, 994756/1            985014984465082,994756/1            , 9850149, 84465082
IdNotaFiscal: 23, 994756/1            985014984465002,994756/1            , 9850149, 84465002
IdNotaFiscal: 23, 994756/1            985014984435858,994756/1            , 9850149, 84435858
IdNotaFiscal: 23, 994756/1            985014984283691,994756/1            , 9850149, 84283691
IdNotaFiscal: 23, 994756/1            98353509514532,994756/1            , 9835350, 9514532
IdNotaFiscal: 23, 994756/1            98353509513759,994756/1            , 9835350, 9513759
IdNotaFiscal: 23, 994756/1            983535089850149,994756/1            , 9835350, 89850149
IdNotaFiscal: 23, 994756/1            983535088711400,994756/1            , 9835350, 88711400
IdNotaFiscal: 23, 994756/1            983535087802834,994756/1            , 9835350, 87802834
IdNotaFiscal: 23, 994756/1            983535087317695,994756/1            , 9835350, 87317695
IdNotaFiscal: 23, 994756/1            983535087037972,994756/1            , 9835350, 87037972
IdNotaFiscal: 23, 994756/1            983535086545652,994756/1            , 9835350, 86545652
IdNotaFiscal: 23, 994756/1            983535084999763,994756/1            , 9835350, 84999763
IdNotaFiscal: 23, 994756/1            983535084999531,994756/1            , 9835350, 84999531
IdNotaFiscal: 23, 994756/1            983535084981149,994756/1            , 9835350, 84981149
IdNotaFiscal: 23, 994756/1            983535084465082,994756/1            , 9835350, 84465082
IdNotaFiscal: 23, 994756/1            983535084465002,994756/1            , 9835350, 84465002
IdNotaFiscal: 23, 994756/1            983535084435858,994756/1            , 9835350, 84435858
IdNotaFiscal: 23, 994756/1            983535084283691,994756/1            , 9835350, 84283691
IdNotaFiscal: 23, 994756/1            95145329513759,994756/1            , 9514532, 9513759
IdNotaFiscal: 23, 994756/1            951453289850149,994756/1            , 9514532, 89850149
IdNotaFiscal: 23, 994756/1            951453288711400,994756/1            , 9514532, 88711400
IdNotaFiscal: 23, 994756/1            951453287802834,994756/1            , 9514532, 87802834
IdNotaFiscal: 23, 994756/1            951453287317695,994756/1            , 9514532, 87317695
IdNotaFiscal: 23, 994756/1            951453287037972,994756/1            , 9514532, 87037972
IdNotaFiscal: 23, 994756/1            951453286545652,994756/1            , 9514532, 86545652
IdNotaFiscal: 23, 994756/1            951453284999763,994756/1            , 9514532, 84999763
IdNotaFiscal: 23, 994756/1            951453284999531,994756/1            , 9514532, 84999531
IdNotaFiscal: 23, 994756/1            951453284981149,994756/1            , 9514532, 84981149
IdNotaFiscal: 23, 994756/1            951453284465082,994756/1            , 9514532, 84465082
IdNotaFiscal: 23, 994756/1            951453284465002,994756/1            , 9514532, 84465002
IdNotaFiscal: 23, 994756/1            951453284435858,994756/1            , 9514532, 84435858
IdNotaFiscal: 23, 994756/1            951453284283691,994756/1            , 9514532, 84283691
IdNotaFiscal: 23, 994756/1            951375989850149,994756/1            , 9513759, 89850149
IdNotaFiscal: 23, 994756/1            951375988711400,994756/1            , 9513759, 88711400
IdNotaFiscal: 23, 994756/1            951375987802834,994756/1            , 9513759, 87802834
IdNotaFiscal: 23, 994756/1            951375987317695,994756/1            , 9513759, 87317695
IdNotaFiscal: 23, 994756/1            951375987037972,994756/1            , 9513759, 87037972
IdNotaFiscal: 23, 994756/1            951375986545652,994756/1            , 9513759, 86545652
IdNotaFiscal: 23, 994756/1            951375984999763,994756/1            , 9513759, 84999763
IdNotaFiscal: 23, 994756/1            951375984999531,994756/1            , 9513759, 84999531
IdNotaFiscal: 23, 994756/1            951375984981149,994756/1            , 9513759, 84981149
IdNotaFiscal: 23, 994756/1            951375984465082,994756/1            , 9513759, 84465082
IdNotaFiscal: 23, 994756/1            951375984465002,994756/1            , 9513759, 84465002
IdNotaFiscal: 23, 994756/1            951375984435858,994756/1            , 9513759, 84435858
IdNotaFiscal: 23, 994756/1            951375984283691,994756/1            , 9513759, 84283691
IdNotaFiscal: 23, 994756/1            8985014988711400,994756/1            , 89850149, 88711400
IdNotaFiscal: 23, 994756/1            8985014987802834,994756/1            , 89850149, 87802834
IdNotaFiscal: 23, 994756/1            8985014987317695,994756/1            , 89850149, 87317695
IdNotaFiscal: 23, 994756/1            8985014987037972,994756/1            , 89850149, 87037972
IdNotaFiscal: 23, 994756/1            8985014986545652,994756/1            , 89850149, 86545652
IdNotaFiscal: 23, 994756/1            8985014984999763,994756/1            , 89850149, 84999763
IdNotaFiscal: 23, 994756/1            8985014984999531,994756/1            , 89850149, 84999531
IdNotaFiscal: 23, 994756/1            8985014984981149,994756/1            , 89850149, 84981149
IdNotaFiscal: 23, 994756/1            8985014984465082,994756/1            , 89850149, 84465082
IdNotaFiscal: 23, 994756/1            8985014984465002,994756/1            , 89850149, 84465002
IdNotaFiscal: 23, 994756/1            8985014984435858,994756/1            , 89850149, 84435858
IdNotaFiscal: 23, 994756/1            8985014984283691,994756/1            , 89850149, 84283691
IdNotaFiscal: 23, 994756/1            8871140087802834,994756/1            , 88711400, 87802834
IdNotaFiscal: 23, 994756/1            8871140087317695,994756/1            , 88711400, 87317695
IdNotaFiscal: 23, 994756/1            8871140087037972,994756/1            , 88711400, 87037972
IdNotaFiscal: 23, 994756/1            8871140086545652,994756/1            , 88711400, 86545652
IdNotaFiscal: 23, 994756/1            8871140084999763,994756/1            , 88711400, 84999763
IdNotaFiscal: 23, 994756/1            8871140084999531,994756/1            , 88711400, 84999531
IdNotaFiscal: 23, 994756/1            8871140084981149,994756/1            , 88711400, 84981149
IdNotaFiscal: 23, 994756/1            8871140084465082,994756/1            , 88711400, 84465082
IdNotaFiscal: 23, 994756/1            8871140084465002,994756/1            , 88711400, 84465002
IdNotaFiscal: 23, 994756/1            8871140084435858,994756/1            , 88711400, 84435858
IdNotaFiscal: 23, 994756/1            8871140084283691,994756/1            , 88711400, 84283691
IdNotaFiscal: 23, 994756/1            8780283487317695,994756/1            , 87802834, 87317695
IdNotaFiscal: 23, 994756/1            8780283487037972,994756/1            , 87802834, 87037972
IdNotaFiscal: 23, 994756/1            8780283486545652,994756/1            , 87802834, 86545652
IdNotaFiscal: 23, 994756/1            8780283484999763,994756/1            , 87802834, 84999763
IdNotaFiscal: 23, 994756/1            8780283484999531,994756/1            , 87802834, 84999531
IdNotaFiscal: 23, 994756/1            8780283484981149,994756/1            , 87802834, 84981149
IdNotaFiscal: 23, 994756/1            8780283484465082,994756/1            , 87802834, 84465082
